"item_id","root_name","disease_id","disease_name","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","weight"
"41","Fruit Salad",35,"Coronary Disease",915,5,"Effects of guava intake on serum total and high-density lipoprotein cholesterol levels and on systemic blood pressure.","Singh RB, Rastogi SS, Singh R, Ghosh S, Niaz MA","https://pubmed.ncbi.nlm.nih.gov/1332463/","1332463","https://doi.org/10.1016/0002-9149(92)90763-o","10.1016/0002-9149(92)90763-o","No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial",4
"41","Fruit Salad",35,"Coronary Disease",915,6,"Dietary intake in the Multiple Risk Factor Intervention Trial (MRFIT): nutrient and food group changes over 6 years.","Gorder DD, Dolecek TA, Coleman GG, Tillotson JL, Brown HB, Lenz-Litzow K, Bartsch GE, Grandits G","https://pubmed.ncbi.nlm.nih.gov/3519736/","3519736","No DOI available",,"No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial, Research Support, U.S. Gov't, P.H.S.",4
"41","Fruit Salad",35,"Coronary Disease",915,7,"A cholesterol intervention program for public health nurses in the rural southeast: description of the intervention, study design, and baseline results.","Keyserling TC, Ammerman AS, Atwood JR, Hosking JD, Krasny C, Zayed H, Worthy BH","https://pubmed.ncbi.nlm.nih.gov/10388332/","10388332","https://doi.org/10.1046/j.1525-1446.1999.00156.x","10.1046/j.1525-1446.1999.00156.x","No PMC available",,"Clinical Trial, Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, U.S. Gov't, P.H.S.",4
"41","Fruit Salad",35,"Coronary Disease",915,8,"Group office visits change dietary habits of patients with coronary artery disease-the dietary intervention and evaluation trial (D.I.E.T.).","Masley S, Phillips S, Copeland JR","https://pubmed.ncbi.nlm.nih.gov/11252212/","11252212","No DOI available",,"No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,9,"Comparison of antioxidant efficacy of vitamin E, vitamin C, vitamin A and fruits in coronary heart disease: a controlled trial.","Singhal S, Gupta R, Goyle A","https://pubmed.ncbi.nlm.nih.gov/11291971/","11291971","No DOI available",,"No PMC available",,"Clinical Trial, Comparative Study, Journal Article, Randomized Controlled Trial",4
"41","Fruit Salad",35,"Coronary Disease",915,10,"Low-fat dietary pattern and risk of cardiovascular disease: the Women's Health Initiative Randomized Controlled Dietary Modification Trial.","Howard BV, Van Horn L, Hsia J, Manson JE, Stefanick ML, Wassertheil-Smoller S, Kuller LH, LaCroix AZ, Langer RD, Lasser NL, Lewis CE, Limacher MC, Margolis KL, Mysiw WJ, Ockene JK, Parker LM, Perri MG, Phillips L, Prentice RL, Robbins J, Rossouw JE, Sarto GE, Schatz IJ, Snetselaar LG, Stevens VJ, Tinker LF, Trevisan M, Vitolins MZ, Anderson GL, Assaf AR, Bassford T, Beresford SA, Black HR, Brunner RL, Brzyski RG, Caan B, Chlebowski RT, Gass M, Granek I, Greenland P, Hays J, Heber D, Heiss G, Hendrix SL, Hubbell FA, Johnson KC, Kotchen JM","https://pubmed.ncbi.nlm.nih.gov/16467234/","16467234","https://doi.org/10.1001/jama.295.6.655","10.1001/jama.295.6.655","No PMC available",,"Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, N.I.H., Extramural",4
"41","Fruit Salad",35,"Coronary Disease",915,11,"Effect of onsite dietitian counseling on weight loss and lipid levels in an outpatient physician office.","Welty FK, Nasca MM, Lew NS, Gregoire S, Ruan Y","https://pubmed.ncbi.nlm.nih.gov/17599444/","17599444","https://doi.org/10.1016/j.amjcard.2007.02.056","10.1016/j.amjcard.2007.02.056","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2726994/","PMC2726994","Clinical Trial, Journal Article",4
"41","Fruit Salad",35,"Coronary Disease",915,12,"No difference in lifestyle changes by adding individual counselling to group-based rehabilitation RCT among coronary heart disease patients.","Mildestvedt T, Meland E, Eide GE","https://pubmed.ncbi.nlm.nih.gov/17852978/","17852978","https://doi.org/10.1080/14034940701349241","10.1080/14034940701349241","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,13,"The effect of dietary patterns on estimated coronary heart disease risk: results from the Dietary Approaches to Stop Hypertension (DASH) trial.","Chen ST, Maruthur NM, Appel LJ","https://pubmed.ncbi.nlm.nih.gov/20807884/","20807884","https://doi.org/10.1161/CIRCOUTCOMES.109.930685","10.1161/CIRCOUTCOMES.109.930685","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005367/","PMC3005367","Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,14,"The effects of a lifestyle-focused text-messaging intervention on adherence to dietary guideline recommendations in patients with coronary heart disease: an analysis of the TEXT ME study.","Santo K, Hyun K, de Keizer L, Thiagalingam A, Hillis GS, Chalmers J, Redfern J, Chow CK","https://pubmed.ncbi.nlm.nih.gov/29792202/","29792202","https://doi.org/10.1186/s12966-018-0677-1","10.1186/s12966-018-0677-1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5967045/","PMC5967045","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,15,"Success in Achieving the Targets of the 20-Year Infancy-Onset Dietary Intervention: Association With Insulin Sensitivity and Serum Lipids.","Laitinen TT, Nuotio J, Juonala M, Niinikoski H, Rovio S, Viikari JSA, Rönnemaa T, Magnussen CG, Jokinen E, Lagström H, Jula A, Simell O, Raitakari OT, Pahkala K","https://pubmed.ncbi.nlm.nih.gov/30072407/","30072407","https://doi.org/10.2337/dc18-0869","10.2337/dc18-0869","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,16,"Longitudinal effect of 20-year infancy-onset dietary intervention on food consumption and nutrient intake: the randomized controlled STRIP study.","Matthews LA, Rovio SP, Jaakkola JM, Niinikoski H, Lagström H, Jula A, Viikari JSA, Rönnemaa T, Simell O, Raitakari OT, Pahkala K","https://pubmed.ncbi.nlm.nih.gov/30397257/","30397257","https://doi.org/10.1038/s41430-018-0350-4","10.1038/s41430-018-0350-4","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"41","Fruit Salad",35,"Coronary Disease",915,17,"[Comparative evaluation of nutrition of healthy persons, patients with the preclinical stage of ischemic heart disease and in patients with marked coronary disease].","Aronov DM, Eganian RA, Kovaleva OF, Zhidko NI, Dannelov GE, Rozhnov AV, Shcherbakova IA","https://pubmed.ncbi.nlm.nih.gov/1921132/","1921132","No DOI available",,"No PMC available",,"Comparative Study, Journal Article",3
"41","Fruit Salad",35,"Coronary Disease",915,18,"[Modifying increased plasma cholesterol levels in secondary prevention of coronary heart disease].","Jost S, Lichtlen PR","https://pubmed.ncbi.nlm.nih.gov/7571764/","7571764","No DOI available",,"No PMC available",,"Comparative Study, English Abstract, Journal Article, Research Support, Non-U.S. Gov't, Review",3
"41","Fruit Salad",35,"Coronary Disease",915,19,"Do hydroxy-carotenoids prevent coronary heart disease? A comparison between Belfast and Toulouse.","Howard AN, Williams NR, Palmer CR, Cambou JP, Evans AE, Foote JW, Marques-Vidal P, McCrum EE, Ruidavets JB, Nigdikar SV, Rajput-Williams J, Thurnham DI","https://pubmed.ncbi.nlm.nih.gov/8843985/","8843985","No DOI available",,"No PMC available",,"Comparative Study, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"41","Fruit Salad",35,"Coronary Disease",915,20,"Dietary patterns and the risk of coronary heart disease among Jordanians: A case-control study.","Tayyem RF, Al-Shudifat AE, Johannessen A, Bawadi HA, AbuMweis SS, Agraib LM, Allhedan SS, Haj-Husein I, Azab M","https://pubmed.ncbi.nlm.nih.gov/29237548/","29237548","https://doi.org/10.1016/j.numecd.2017.10.026","10.1016/j.numecd.2017.10.026","No PMC available",,"Comparative Study, Journal Article",3
