"id","root_name","disease_id","disease_name","odw","best_mesh_match","query_used","articles_count","calculated_dw","category","q1","q2","q3"
"6","Crowberry",28,"Diabetes Mellitus, Type 2",,"Ericaceae","Q2",34,385,"not_ready","(""Ericaceae""[Mesh] AND ""Ericaceae/therapeutic use""[Mesh] NOT ""Ericaceae/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Ericaceae""[Mesh] NOT ""Ericaceae/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Ericaceae"" NOT ""Ericaceae/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"22","Grape",28,"Diabetes Mellitus, Type 2","225","Vitis","Q2",16,230,"not_ready","(""Vitis""[Mesh] AND ""Vitis/therapeutic use""[Mesh] NOT ""Vitis/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vitis""[Mesh] NOT ""Vitis/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vitis"" NOT ""Vitis/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"32","Apricot",28,"Diabetes Mellitus, Type 2",,"Prunus","Q2",20,315,"not_ready","(""Prunus""[Mesh] AND ""Prunus/therapeutic use""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Prunus""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Prunus"" NOT ""Prunus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"39","Lemon",28,"Diabetes Mellitus, Type 2","155","Citrus","Q2",39,375,"not_ready","(""Citrus""[Mesh] AND ""Citrus/therapeutic use""[Mesh] NOT ""Citrus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Citrus""[Mesh] NOT ""Citrus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Citrus"" NOT ""Citrus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"40","Cherry",28,"Diabetes Mellitus, Type 2","60","Prunus","Q2",20,315,"not_ready","(""Prunus""[Mesh] AND ""Prunus/therapeutic use""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Prunus""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Prunus"" NOT ""Prunus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"41","Fruit Salad",28,"Diabetes Mellitus, Type 2",,"Fruits","Q3",382,4075,"not_ready","(""Fruits""[Mesh] AND ""Fruits/therapeutic use""[Mesh] NOT ""Fruits/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Fruits""[Mesh] NOT ""Fruits/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Fruits"" NOT ""Fruits/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"43","Sharon",28,"Diabetes Mellitus, Type 2",,"Sharon","Q3",19,184,"not_ready","(""Sharon""[Mesh] AND ""Sharon/therapeutic use""[Mesh] NOT ""Sharon/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Sharon""[Mesh] NOT ""Sharon/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Sharon"" NOT ""Sharon/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"47","Tangerine",28,"Diabetes Mellitus, Type 2",,"Citrus","Q2",39,375,"not_ready","(""Citrus""[Mesh] AND ""Citrus/therapeutic use""[Mesh] NOT ""Citrus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Citrus""[Mesh] NOT ""Citrus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Citrus"" NOT ""Citrus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
