"id","root_name","disease_id","disease_name","odw","best_mesh_match","query_used","articles_count","calculated_dw","category","q1","q2","q3"
"21","Elderberry Flowerdrink",35,"Coronary Disease",,"Sambucus extract","None",0,0,"ready","(""Sambucus extract""[Mesh] AND ""Sambucus extract/therapeutic use""[Mesh] NOT ""Sambucus extract/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Sambucus extract""[Mesh] NOT ""Sambucus extract/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Sambucus extract"" NOT ""Sambucus extract/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"22","Grape",35,"Coronary Disease","225","Vitis","Q2",11,96,"ready","(""Vitis""[Mesh] AND ""Vitis/therapeutic use""[Mesh] NOT ""Vitis/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vitis""[Mesh] NOT ""Vitis/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vitis"" NOT ""Vitis/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"23","Watermelon",35,"Coronary Disease",,"Citrullus","None",0,0,"ready","(""Citrullus""[Mesh] AND ""Citrullus/therapeutic use""[Mesh] NOT ""Citrullus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Citrullus""[Mesh] NOT ""Citrullus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Citrullus"" NOT ""Citrullus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"24","Apple",35,"Coronary Disease","260","Malus","None",0,0,"ready","(""Malus""[Mesh] AND ""Malus/therapeutic use""[Mesh] NOT ""Malus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Malus""[Mesh] NOT ""Malus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Malus"" NOT ""Malus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"25","Peache",35,"Coronary Disease",,"Prunus persica","None",0,0,"ready","(""Prunus persica""[Mesh] AND ""Prunus persica/therapeutic use""[Mesh] NOT ""Prunus persica/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus persica""[Mesh] NOT ""Prunus persica/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus persica"" NOT ""Prunus persica/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"26","Pear",35,"Coronary Disease","125","Pyrus","None",0,0,"ready","(""Pyrus""[Mesh] AND ""Pyrus/therapeutic use""[Mesh] NOT ""Pyrus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Pyrus""[Mesh] NOT ""Pyrus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Pyrus"" NOT ""Pyrus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"27","Syrup From Canned Pear",35,"Coronary Disease",,"Pyrus","None",0,0,"ready","(""Pyrus""[Mesh] AND ""Pyrus/therapeutic use""[Mesh] NOT ""Pyrus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Pyrus""[Mesh] NOT ""Pyrus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Pyrus"" NOT ""Pyrus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"28","Squash",35,"Coronary Disease","16","Cucurbita","None",0,0,"ready","(""Cucurbita""[Mesh] AND ""Cucurbita/therapeutic use""[Mesh] NOT ""Cucurbita/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucurbita""[Mesh] NOT ""Cucurbita/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucurbita"" NOT ""Cucurbita/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"29","Honeydew",35,"Coronary Disease",,"Cucumis melo","None",0,0,"ready","(""Cucumis melo""[Mesh] AND ""Cucumis melo/therapeutic use""[Mesh] NOT ""Cucumis melo/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucumis melo""[Mesh] NOT ""Cucumis melo/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucumis melo"" NOT ""Cucumis melo/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"30","Melon",35,"Coronary Disease","136","Cucurbitaceae","Q2",2,2,"ready","(""Cucurbitaceae""[Mesh] AND ""Cucurbitaceae/therapeutic use""[Mesh] NOT ""Cucurbitaceae/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucurbitaceae""[Mesh] NOT ""Cucurbitaceae/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Cucurbitaceae"" NOT ""Cucurbitaceae/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"31","Papaya",35,"Coronary Disease","48","Carica","None",0,0,"ready","(""Carica""[Mesh] AND ""Carica/therapeutic use""[Mesh] NOT ""Carica/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Carica""[Mesh] NOT ""Carica/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Carica"" NOT ""Carica/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"32","Apricot",35,"Coronary Disease",,"Prunus","Q2",7,100,"ready","(""Prunus""[Mesh] AND ""Prunus/therapeutic use""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus""[Mesh] NOT ""Prunus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus"" NOT ""Prunus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"33","Glacè Cherry",35,"Coronary Disease",,"Prunus avium","None",0,0,"ready","(""Prunus avium""[Mesh] AND ""Prunus avium/therapeutic use""[Mesh] NOT ""Prunus avium/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus avium""[Mesh] NOT ""Prunus avium/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Prunus avium"" NOT ""Prunus avium/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"34","Plantain",35,"Coronary Disease","50","Plantago","None",0,0,"ready","(""Plantago""[Mesh] AND ""Plantago/therapeutic use""[Mesh] NOT ""Plantago/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Plantago""[Mesh] NOT ""Plantago/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Plantago"" NOT ""Plantago/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"35","Pineapple",35,"Coronary Disease","2","Ananas","None",0,0,"ready","(""Ananas""[Mesh] AND ""Ananas/therapeutic use""[Mesh] NOT ""Ananas/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Ananas""[Mesh] NOT ""Ananas/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Ananas"" NOT ""Ananas/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
