"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",54,"Uterine Cervical Neoplasms",3,"ready",3,1,"Raspberry-like poly(γ-glutamic acid) hydrogel particles for pH-dependent cell membrane passage and controlled cytosolic delivery of antitumor drugs.","Cho SH, Hong JH, Noh YW, Lee E, Lee CS, Lim YT","https://pubmed.ncbi.nlm.nih.gov/27822040/","27822040","https://doi.org/10.2147/IJN.S117862","10.2147/IJN.S117862","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5089826/","PMC5089826","Journal Article",0
"1","Blackberry",54,"Uterine Cervical Neoplasms",3,"ready",3,2,"Raspberry Extract With Potential Antitumor Activity Against Cervical Cancer.","Sham N, Qin C, Zhu Z, Redington CG, Xiao H, Bai Q, Wakefield MR, Kou L, Fang Y","https://pubmed.ncbi.nlm.nih.gov/34230130/","34230130","https://doi.org/10.21873/anticanres.15122","10.21873/anticanres.15122","No PMC available",,"Journal Article",0
"1","Blackberry",54,"Uterine Cervical Neoplasms",3,"ready",3,3,"The In-Vitro Effect of Homeopathically Prepared Rubus idaeus and 680 nm Laser Irradiation on Cervical Cancer Cells.","Joubert KS, George BP, Razlog R, Abrahamse H","https://pubmed.ncbi.nlm.nih.gov/35835442/","35835442","https://doi.org/10.1055/s-0042-1747683","10.1055/s-0042-1747683","No PMC available",,"Journal Article",0
