"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",55,"Prostatic Neoplasms",4,"ready",28,1,"Characterization of black raspberry functional food products for cancer prevention human clinical trials.","Gu J, Ahn-Jarvis JH, Riedl KM, Schwartz SJ, Clinton SK, Vodovotz Y","https://pubmed.ncbi.nlm.nih.gov/24345009/","24345009","https://doi.org/10.1021/jf404566p","10.1021/jf404566p","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4133319/","PMC4133319","Clinical Trial, Journal Article",4
"1","Blackberry",55,"Prostatic Neoplasms",4,"ready",28,2,"Effects of Black Raspberries and Their Ellagic Acid and Anthocyanin Constituents on Taxane Chemotherapy of Castration-Resistant Prostate Cancer Cells.","Eskra JN, Schlicht MJ, Bosland MC","https://pubmed.ncbi.nlm.nih.gov/30867440/","30867440","https://doi.org/10.1038/s41598-019-39589-1","10.1038/s41598-019-39589-1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6416359/","PMC6416359","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"1","Blackberry",55,"Prostatic Neoplasms",4,"ready",28,3,"Effects of Black Raspberries and Their Constituents on Rat Prostate Carcinogenesis and Human Prostate Cancer Cell Growth In Vitro.","Eskra JN, Dodge A, Schlicht MJ, Bosland MC","https://pubmed.ncbi.nlm.nih.gov/31402717/","31402717","https://doi.org/10.1080/01635581.2019.1650943","10.1080/01635581.2019.1650943","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012690/","PMC7012690","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"1","Blackberry",55,"Prostatic Neoplasms",4,"ready",28,4,"Dose-Dependent Increases in Ellagitannin Metabolites as Biomarkers of Intake in Humans Consuming Standardized Black Raspberry Food Products Designed for Clinical Trials.","Roberts KM, Grainger EM, Thomas-Ahner JM, Hinton A, Gu J, Riedl K, Vodovotz Y, Abaza R, Schwartz SJ, Clinton SK","https://pubmed.ncbi.nlm.nih.gov/32112501/","32112501","https://doi.org/10.1002/mnfr.201900800","10.1002/mnfr.201900800","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9496378/","PMC9496378","Clinical Trial, Phase I, Clinical Trial, Phase II, Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
