"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",50,"Melanoma",2,"ready",8,1,"Oncolytic Virotherapy: A Contest between Apples and Oranges.","Russell SJ, Peng KW","https://pubmed.ncbi.nlm.nih.gov/28392162/","28392162","https://doi.org/10.1016/j.ymthe.2017.03.026","10.1016/j.ymthe.2017.03.026","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5417845/","PMC5417845","Journal Article, Review, Research Support, Non-U.S. Gov't, Research Support, N.I.H., Extramural",2
"855","apples",50,"Melanoma",2,"ready",8,2,"Quercetin as a Potential Therapeutic Agent for Malignant Melanoma-A Review of Current Evidence and Future Directions.","Hoinoiu T, Dumitrascu V, Pit D, Schipor DA, Jabri-Tabrizi M, Hoinoiu B, Petreuș DE, Seiman C","https://pubmed.ncbi.nlm.nih.gov/40282947/","40282947","https://doi.org/10.3390/medicina61040656","10.3390/medicina61040656","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12028657/","PMC12028657","Journal Article, Review",2
