"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",67,"Crohn Disease",4,"ready",4,1,"Utility of routinely collected electronic health records data to support effectiveness evaluations in inflammatory bowel disease: a pilot study of tofacitinib.","Rudrapatna VA, Glicksberg BS, Butte AJ","https://pubmed.ncbi.nlm.nih.gov/34011632/","34011632","https://doi.org/10.1136/bmjhci-2021-100337","10.1136/bmjhci-2021-100337","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8141436/","PMC8141436","Journal Article",0
"24","Apple",67,"Crohn Disease",4,"ready",4,2,"Creation of an ustekinumab external control arm for Crohn's disease using electronic health records data: A pilot study.","Rudrapatna VA, Cheng YW, Feuille C, Mosenia A, Shih J, Shi Y, Roberson O, Rubin B, Butte AJ, Mahadevan U, Skomrock N, Erondu N, Chehoud C, Rahim S, Apfel D, Curran M, Khan NS, O'Brien C, Terry N, Martini BD","https://pubmed.ncbi.nlm.nih.gov/36862717/","36862717","https://doi.org/10.1371/journal.pone.0282267","10.1371/journal.pone.0282267","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9980824/","PMC9980824","Journal Article, Research Support, Non-U.S. Gov't, Research Support, N.I.H., Extramural",0
"24","Apple",67,"Crohn Disease",4,"ready",4,3,"Sequential regression and simulation: a method for estimating causal effects from heterogeneous clinical trials without a common control group.","Rudrapatna VA, Ravindranath VG, Arneson DV, Mosenia A, Butte AJ, Wang S","https://pubmed.ncbi.nlm.nih.gov/37789257/","37789257","https://doi.org/10.1186/s12874-023-02020-5","10.1186/s12874-023-02020-5","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10546672/","PMC10546672","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"24","Apple",67,"Crohn Disease",4,"ready",4,4,"Fruits, Vegetables, Legumes, and Potatoes and Risk of Crohn's Disease and Ulcerative Colitis.","Meyer A, Carbonnel F, Dahm CC, Halkjær J, Tjønneland A, Schulze MB, Sacerdote C, Tumino R, Oldenburg B, Huerta JM, Guevara M, Aune D, Gunter MJ, Heath AK, Vineis P, Tong TYN, Amiot A, Chan SSM","https://pubmed.ncbi.nlm.nih.gov/40553119/","40553119","https://doi.org/10.14309/ajg.0000000000003602","10.14309/ajg.0000000000003602","No PMC available",,"Journal Article",0
