"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",74,"Stomach Ulcer",4,"ready",4,1,"Gastroprotective Effects of Plants Extracts on Gastric Mucosal Injury in Experimental Sprague-Dawley Rats.","Park JU, Kang JH, Rahman MAA, Hussain A, Cho JS, Lee YI","https://pubmed.ncbi.nlm.nih.gov/30906783/","30906783","https://doi.org/10.1155/2019/8759708","10.1155/2019/8759708","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6398063/","PMC6398063","Journal Article, Retracted Publication",1
"1","Blackberry",74,"Stomach Ulcer",4,"ready",4,2,"The anti-gastropathic and anti-rheumatic effect of niga-ichigoside F1 and 23-hydroxytormentic acid isolated from the unripe fruits of Rubus coreanus in a rat model.","Nam JH, Jung HJ, Choi J, Lee KT, Park HJ","https://pubmed.ncbi.nlm.nih.gov/16651728/","16651728","https://doi.org/10.1248/bpb.29.967","10.1248/bpb.29.967","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",74,"Stomach Ulcer",4,"ready",4,3,"Antiulcer activity of anthocyanins from Rubus coreanus via association with regulation of the activity of matrix metalloproteinase-2.","Kim SJ, Lee HJ, Kim BS, Lee D, Lee SJ, Yoo SH, Chang HI","https://pubmed.ncbi.nlm.nih.gov/21942741/","21942741","https://doi.org/10.1021/jf104192a","10.1021/jf104192a","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",74,"Stomach Ulcer",4,"ready",4,4,"Evaluation of the gastroprotective activity of the extracts, fractions, and pure compounds obtained from aerial parts of Rubus imperialis in different experimental models.","Berté PE, da Silva Lopes J, Comandulli NG, Rangel DW, Monache FD, Filho VC, Niero R, de Andrade SF","https://pubmed.ncbi.nlm.nih.gov/24402081/","24402081","https://doi.org/10.1007/s00210-013-0954-0","10.1007/s00210-013-0954-0","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
