"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",74,"Stomach Ulcer",3,"ready",3,1,"Antioxidant and antiulcerative properties of phenolics from Chinese quince, quince, and apple fruits.","Hamauzu Y, Inno T, Kume C, Irie M, Hiramatsu K","https://pubmed.ncbi.nlm.nih.gov/16448180/","16448180","https://doi.org/10.1021/jf052236y","10.1021/jf052236y","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",74,"Stomach Ulcer",3,"ready",3,2,"Apple polyphenol extracts protect against aspirin-induced gastric mucosal damage in rats.","Paturi G, Butts CA, Bentley-Hewitt KL, McGhie TK, Saleh ZS, McLeod A","https://pubmed.ncbi.nlm.nih.gov/25069887/","25069887","https://doi.org/10.1002/ptr.5210","10.1002/ptr.5210","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",74,"Stomach Ulcer",3,"ready",3,3,"Apple (Malus domestica Borkh) leaves attenuate indomethacin-induced gastric ulcer in rats.","Mahmoud MF, Abdo W, Nabil M, Drissi B, El-Shazly AM, Abdelfattah MAO, Sobeh M","https://pubmed.ncbi.nlm.nih.gov/36736281/","36736281","https://doi.org/10.1016/j.biopha.2023.114331","10.1016/j.biopha.2023.114331","No PMC available",,"Journal Article",0
