"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",70,"Parkinson Disease",9,"ready",60,1,"A randomised controlled trial evaluating the effect of an individual auditory cueing device on freezing and gait speed in people with Parkinson's disease.","Ledger S, Galvin R, Lynch D, Stokes EK","https://pubmed.ncbi.nlm.nih.gov/19077238/","19077238","https://doi.org/10.1186/1471-2377-8-46","10.1186/1471-2377-8-46","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2630976/","PMC2630976","Journal Article, Multicenter Study, Randomized Controlled Trial",4
"24","Apple",70,"Parkinson Disease",9,"ready",60,2,"Steps against the burden of Parkinson's disease (StepuP): Protocol of a randomized controlled trial elucidating the biomechanical and neurophysiological mechanisms of a speed dependent treadmill training intervention.","van Leeuwen AM, Welzel J, D'Ascanio I, Lang C, Vinod V, Görrisen P, Geritz J, Hansen C, Gazit E, Tov SS, Prusak R, Casadei I, Contri A, Tampellini F, Pellicciari L, Lopane G, Buonaura GC, Palmerini L, Zahid N, Mehwish M, Ratanapongleka M, Razee H, von Wegner F, van Wijk BCM, Bruijn SM, Ravi DK, Okubo Y, Singh NB, Brodie M, La Porta F, Hausdorff JM, Maetzler W, van Dieën JH","https://pubmed.ncbi.nlm.nih.gov/42348515/","42348515","https://doi.org/10.1371/journal.pone.0348957","10.1371/journal.pone.0348957","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13298929/","PMC13298929","Journal Article, Clinical Trial Protocol",3
"24","Apple",70,"Parkinson Disease",9,"ready",60,3,"[ECT: The apple of discord in modern psychiatry (author's transl)].","Baumann P","https://pubmed.ncbi.nlm.nih.gov/215993/","215993","No DOI available",,"No PMC available",,"English Abstract, Journal Article, Review",2
"24","Apple",70,"Parkinson Disease",9,"ready",60,4,"An apple a day to prevent Parkinson disease: reduction of risk by flavonoids.","Kukull WA","https://pubmed.ncbi.nlm.nih.gov/22491859/","22491859","https://doi.org/10.1212/WNL.0b013e31824f80e4","10.1212/WNL.0b013e31824f80e4","No PMC available",,"Editorial, Research Support, N.I.H., Extramural, Comment",1
"24","Apple",70,"Parkinson Disease",9,"ready",60,5,"The effectiveness of Lee Silverman Voice Treatment therapy issued interactively through an iPad device: A non-inferiority study.","Griffin M, Bentley J, Shanks J, Wood C","https://pubmed.ncbi.nlm.nih.gov/28147896/","28147896","https://doi.org/10.1177/1357633X17691865","10.1177/1357633X17691865","No PMC available",,"Journal Article, Equivalence Trial",0
"24","Apple",70,"Parkinson Disease",9,"ready",60,6,"A comparison of an implanted accelerometer with a wearable accelerometer for closed-loop DBS.","Rojas E, Schmidt SL, Chowdhury A, Pajic M, Turner DA, Won DS","https://pubmed.ncbi.nlm.nih.gov/36085858/","36085858","https://doi.org/10.1109/EMBC48229.2022.9871232","10.1109/EMBC48229.2022.9871232","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11618508/","PMC11618508","Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov't, Non-P.H.S.",0
"24","Apple",70,"Parkinson Disease",9,"ready",60,7,"Identification and Characterization of Neuroprotective Properties of Thaumatin-like Protein 1a from Annurca Apple Flesh Polyphenol Extract.","D'Errico A, Nasso R, Di Maro A, Landi N, Chambery A, Russo R, D'Angelo S, Masullo M, Arcone R","https://pubmed.ncbi.nlm.nih.gov/38276545/","38276545","https://doi.org/10.3390/nu16020307","10.3390/nu16020307","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10821328/","PMC10821328","Journal Article",0
"24","Apple",70,"Parkinson Disease",9,"ready",60,8,"Self-Management Systems for Patients and Clinicians in Parkinson Care: Protocol for an Integrated Scoping Review, Product Search, and Evaluation.","Boege S, Milne-Ives M, Meinert E, Carroll C","https://pubmed.ncbi.nlm.nih.gov/39316796/","39316796","https://doi.org/10.2196/58845","10.2196/58845","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11462133/","PMC11462133","Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",70,"Parkinson Disease",9,"ready",60,9,"Development of a remote therapeutic monitoring platform: applications for movement disorders.","Thankathuraipandian S, Greenleaf W, Kyani A, Tomlinson T, Balasingh B, Ross E, Pathak Y","https://pubmed.ncbi.nlm.nih.gov/39617767/","39617767","https://doi.org/10.1038/s41598-024-80567-z","10.1038/s41598-024-80567-z","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11609271/","PMC11609271","Journal Article",0
