"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",79,"Urolithiasis",3,"ready",55,1,"Dietary interventions on nutritional management of population with urolithiasis: a systematic review of clinical evidence.","Pacheco-Hernández B, Sansores-España D, Medina-Vera I, Rubio-Zapata H, Reyes-García JG, Rocha-González HI, Guevara-Cruz M, Gutiérrez-Solis AL, Lugo R, Márquez-Mota CC, Avila-Nava A","https://pubmed.ncbi.nlm.nih.gov/40936162/","40936162","https://doi.org/10.1017/S0954422425100188","10.1017/S0954422425100188","No PMC available",,"Systematic Review, Journal Article, Research Support, Non-U.S. Gov't",5
"24","Apple",79,"Urolithiasis",3,"ready",55,2,"Apple cider vinegar for prevention of urinary lithiasis (APUL): a randomized crossover trial.","Baker B, Herforth C, Low J, Craig R, Christman M","https://pubmed.ncbi.nlm.nih.gov/41351751/","41351751","https://doi.org/10.1007/s11255-025-04944-x","10.1007/s11255-025-04944-x","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13194252/","PMC13194252","Journal Article, Randomized Controlled Trial",4
"24","Apple",79,"Urolithiasis",3,"ready",55,3,"Smartphone apps for urolithiasis.","Stevens DJ, McKenzie K, Cui HW, Noble JG, Turney BW","https://pubmed.ncbi.nlm.nih.gov/25410731/","25410731","https://doi.org/10.1007/s00240-014-0738-0","10.1007/s00240-014-0738-0","No PMC available",,"Journal Article, Review",2
