"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",39,"Inflammatory Bowel Diseases",3,"ready",8,1,"Chemopreventive Effects of Strawberry and Black Raspberry on Colorectal Cancer in Inflammatory Bowel Disease.","Chen T, Shi N, Afzali A","https://pubmed.ncbi.nlm.nih.gov/31163684/","31163684","https://doi.org/10.3390/nu11061261","10.3390/nu11061261","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627270/","PMC6627270","Journal Article, Review",2
"1","Blackberry",39,"Inflammatory Bowel Diseases",3,"ready",8,2,"Protective effects of Rubus tereticaulis leaves ethanol extract on rats with ulcerative colitis and bio-guided isolation of its active compounds: A combined in silico, in vitro and in vivo study.","Şen A, Özbeyli D, Teralı K, Göger F, Yıldırım A, Ertaş B, Doğan A, Bitiş L, Şener G","https://pubmed.ncbi.nlm.nih.gov/36375516/","36375516","https://doi.org/10.1016/j.cbi.2022.110263","10.1016/j.cbi.2022.110263","No PMC available",,"Journal Article",0
"1","Blackberry",39,"Inflammatory Bowel Diseases",3,"ready",8,3,"Diverse domains of raspberry pectin: critical determinants for protecting against IBDs.","Wu D, Ye X, Hu W, Yu C, Zhu K, Pan H, Chen J, Cheng H, Chen S","https://pubmed.ncbi.nlm.nih.gov/39716902/","39716902","https://doi.org/10.1039/d4fo03363a","10.1039/d4fo03363a","No PMC available",,"Journal Article",0
