"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",46,"Prediabetic State",4,"ready",44,1,"Attenuation of Postmeal Metabolic Indices with Red Raspberries in Individuals at Risk for Diabetes: A Randomized Controlled Trial.","Xiao D, Zhu L, Edirisinghe I, Fareed J, Brailovsky Y, Burton-Freeman B","https://pubmed.ncbi.nlm.nih.gov/30767409/","30767409","https://doi.org/10.1002/oby.22406","10.1002/oby.22406","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blackberry",46,"Prediabetic State",4,"ready",44,2,"Plasma and Urinary (Poly)phenolic Profiles after 4-Week Red Raspberry (Rubus idaeus L.) Intake with or without Fructo-Oligosaccharide Supplementation.","Zhang X, Sandhu A, Edirisinghe I, Burton-Freeman BM","https://pubmed.ncbi.nlm.nih.gov/33080934/","33080934","https://doi.org/10.3390/molecules25204777","10.3390/molecules25204777","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594073/","PMC7594073","Journal Article, Randomized Controlled Trial",4
"1","Blackberry",46,"Prediabetic State",4,"ready",44,3,"Effects of Dietary Red Raspberry Consumption on Pre-Diabetes and Type 2 Diabetes Mellitus Parameters.","Derrick SA, Kristo AS, Reaves SK, Sikalidis AK","https://pubmed.ncbi.nlm.nih.gov/34501954/","34501954","https://doi.org/10.3390/ijerph18179364","10.3390/ijerph18179364","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8431376/","PMC8431376","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"1","Blackberry",46,"Prediabetic State",4,"ready",44,4,"Pharmacokinetic Evaluation of Red Raspberry (Poly)phenols from Two Doses and Association with Metabolic Indices in Adults with Prediabetes and Insulin Resistance.","Zhang X, Fan J, Xiao D, Edirisinghe I, Burton-Freeman BM, Sandhu AK","https://pubmed.ncbi.nlm.nih.gov/34357772/","34357772","https://doi.org/10.1021/acs.jafc.1c02404","10.1021/acs.jafc.1c02404","No PMC available",,"Journal Article",0
