"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",66,"Constipation",5,"ready",44,1,"Chemical stability of fructans in apple beverages and their influence on chronic constipation.","Glibowski P , Skrzypek M , Ćwiklińska M , Drozd M , Kowalska A ","https://pubmed.ncbi.nlm.nih.gov/32319465/","32319465","https://doi.org/10.1039/c9fo02596k","10.1039/c9fo02596k","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",66,"Constipation",5,"ready",44,2,"Apple Polyphenols and Defecation in Overweight Adults with Constipation - A Randomized Controlled Trial.","Sekikawa T, Li Y, Takara T","https://pubmed.ncbi.nlm.nih.gov/40766985/","40766985","https://doi.org/10.1080/19390211.2025.2539878","10.1080/19390211.2025.2539878","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",66,"Constipation",5,"ready",44,3,"Effect of dietary fiber on morphine-induced constipation in rats.","Niwa T, Nakao M, Hoshi S, Yamada K, Inagaki K, Nishida M, Nabeshima T","https://pubmed.ncbi.nlm.nih.gov/12162543/","12162543","https://doi.org/10.1271/bbb.66.1233","10.1271/bbb.66.1233","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",66,"Constipation",5,"ready",44,4,"Effect of apple vinegar intake on metabolic parameters and constipation in patients with schizophrenia treated with clozapine: a pilot study.","Hjorth P, Petersen SM, Launholt TL, Nielsen CT","https://pubmed.ncbi.nlm.nih.gov/32762505/","32762505","https://doi.org/10.1080/08039488.2020.1799432","10.1080/08039488.2020.1799432","No PMC available",,"Journal Article",0
"24","Apple",66,"Constipation",5,"ready",44,5,"Apple juice relieves loperamide-induced constipation in rats by downregulating the intestinal apical sodium-dependent bile acid transporter ASBT.","Zhu Q, Iwai R, Okaguchi T, Shirasaka Y, Tamai I","https://pubmed.ncbi.nlm.nih.gov/37129213/","37129213","https://doi.org/10.1039/d3fo00510k","10.1039/d3fo00510k","No PMC available",,"Journal Article",0
