"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",52,"Osteoporosis",3,"ready",24,1,"Comparative effects of dried plum and dried apple on bone in postmenopausal women.","Hooshmand S, Chai SC, Saadat RL, Payton ME, Brummel-Smith K, Arjmandi BH","https://pubmed.ncbi.nlm.nih.gov/21736808/","21736808","https://doi.org/10.1017/S000711451100119X","10.1017/S000711451100119X","No PMC available",,"Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",52,"Osteoporosis",3,"ready",24,2,"[Dried plums improve bone density].","Kurth A","https://pubmed.ncbi.nlm.nih.gov/23862187/","23862187","No DOI available",,"No PMC available",,"Journal Article, Comment",1
"24","Apple",52,"Osteoporosis",3,"ready",24,3,"The Effect of Apple-Derived Nanovesicles on the Osteoblastogenesis of Osteoblastic MC3T3-E1 Cells.","Sim Y, Seo HJ, Kim DH, Lee SH, Kwon J, Kwun IS, Jung C, Kim JI, Lim JH, Kim DK, Baek MC, Cho YE","https://pubmed.ncbi.nlm.nih.gov/36594993/","36594993","https://doi.org/10.1089/jmf.2022.K.0094","10.1089/jmf.2022.K.0094","No PMC available",,"Journal Article",0
